Summary Metric,Value
number of repeated section codes,469
total rows involved in repeated section codes,2498
max duplicate count for a single section code,19

section number,generated id,title/name,level,parentId,parent section number if available,parent title if available,sortOrder
00100,1995-00100,Advertisement for Bids,4,1995-00020,00020,LIST OF SCHEDULES,6
00100,1995-00100-2,BID SOLICITATION,2,,,,7
00100,1995-00100-3,Bidder's Qualifications,4,1995-00100-2,00100,BID SOLICITATION,8
00100,1995-00100-4,Invitation to Bid,4,1995-00100-2,00100,BID SOLICITATION,9
00100,1995-00100-5,Request for Proposal,4,1995-00100-2,00100,BID SOLICITATION,10
00410,1995-00410,Bid Form,3,1995-00400,00400,BID FORMS AND SUPPLEMENTS,23
00410,1995-00410-2,Bid Form - Construction Management,4,1995-00410,00410,Bid Form,24
00410,1995-00410-3,Bid Form - Construction Management,4,1995-00410,00410,Bid Form,25
00410,1995-00410-4,Bid Form - Cost-Plus Fee,4,1995-00410,00410,Bid Form,26
00410,1995-00410-5,Bid Form - Cost-Plus Fee,4,1995-00410,00410,Bid Form,27
00410,1995-00410-6,Bid Form - Procurement,4,1995-00410,00410,Bid Form,28
00410,1995-00410-7,Bid Form - Stipulated Sum,4,1995-00410,00410,Bid Form,29
00410,1995-00410-8,Bid Form - Stipulated Sum,4,1995-00410,00410,Bid Form,30
00410,1995-00410-9,Bid Form - Unit Price,4,1995-00410,00410,Bid Form,31
00410,1995-00410-10,Bid Form - Unit Price,4,1995-00410,00410,Bid Form,32
00430,1995-00430,Allowance Forms,4,1995-00410,00410,Bid Form,33
00430,1995-00430-2,Alternate Forms,4,1995-00410,00410,Bid Form,34
00430,1995-00430-3,Bid Form Supplements,3,1995-00400,00400,BID FORMS AND SUPPLEMENTS,35
00430,1995-00430-4,Bid Security Forms,4,1995-00430-3,00430,Bid Form Supplements,36
00430,1995-00430-5,Bid Submittal Checklist,4,1995-00430-3,00430,Bid Form Supplements,37
00430,1995-00430-6,Estimated Quantities Forms,4,1995-00430-3,00430,Bid Form Supplements,38
00430,1995-00430-7,Proposed Products Forms,4,1995-00430-3,00430,Bid Form Supplements,39
