1995 SECTION,1995 TITLE,1995 LEVEL,2004 SECTION,2004 TITLE,2004 LEVEL
00001,PROJECT TITLE PAGE,2,00 01 01,Project Title Page,3
00005,CERTIFICATIONS PAGE,2,00 01 05,Certifications Page,3
00007,SEALS PAGE,2,00 01 07,Seals Page,3
00010,TABLE OF CONTENTS,2,00 01 10,Table of Contents,3
00015,LIST OF DRAWINGS,2,00 01 15,List of Drawing Sheets,3
00020,LIST OF SCHEDULES,2,00 01 20,List of Schedules,3
00100,Advertisement for Bids,4,00 11 13,Advertisement for Bids,3
00100,BID SOLICITATION,2,00 10 00,Solicitation,2
00100,Bidder’s Qualifications,4,00 11 53,Request for Qualifications,3
00100,Invitation to Bid,4,00 11 16,Invitation to Bid,3
00100,Request for Proposal,4,00 11 19,Request for Proposal,3
00200,INSTRUCTIONS TO BIDDERS,2,00 21 13,Instructions to Bidders,3
00210,Supplementary Instructions to Bidders,3,00 22 13,Supplementary Instructions to Bidders,3
00220,Bid Scopes,3,00 24 13,Scopes of Bids,3
00250,Pre-Bid Meeting,3,00 25 13,Pre-Bid Meetings,3
00300,INFORMATION AVAILABLE TO BIDDERS,2,00 31 00,Available Project Information,2
00310,Preliminary Schedules,3,00 31 13,Preliminary Schedules,3
00320,Geotechnical Data,3,00 31 32,Geotechnical Data,3
00330,Existing Conditions,3,00 31 19,Existing Condition Information,3
00340,Environmental Assessment Information,3,00 31 24,Environmental Assessment Information,3
00350,Project Financial Information,3,00 31 16,Project Budget Information,3
00360,Permit Application,3,00 31 43,Permit Application,3
00400,BID FORMS AND SUPPLEMENTS,2,00 40 00,Procurement Forms and Supplements,2
00410,Bid Form,3,00 41 00,Bid Forms,2
00410,Bid Form – Construction Management,4,00 41 23,Bid Form – Construction Management (Single-Prime Contract),3
00410,Bid Form – Construction Management,4,00 41 26,Bid Form – Construction Management (Multiple-Prime Contract),3
00410,Bid Form – Cost-Plus Fee,4,00 41 33,Bid Form – Cost-Plus-Fee (Single-Prime Contract),3
00410,Bid Form – Cost-Plus Fee,4,00 41 36,Bid Form – Cost-Plus-Fee (Multiple-Prime Contract),3
00410,Bid Form – Procurement,4,00 41 63,Bid Form – Purchase Contract,3
00410,Bid Form – Stipulated Sum,4,00 41 13,Bid Form – Stipulated Sum (Single-Prime Contract),3
00410,Bid Form – Stipulated Sum,4,00 41 16,Bid Form – Stipulated Sum (Multiple-Prime Contract),3
00410,Bid Form – Unit Price,4,00 41 43,Bid Form – Unit Price (Single-Prime Contract),3
00410,Bid Form – Unit Price,4,00 41 46,Bid Form – Unit Price (Multiple-Prime Contract),3
00430,Allowance Forms,4,00 43 21,Allowance Form,3
00430,Alternate Forms,4,00 43 23,Alternates Form,3
00430,Bid Form Supplements,3,00 43 00,Procurement Form Supplements,2
00430,Bid Security Forms,4,00 43 13,Bid Security Form,3
00430,Bid Submittal Checklist,4,00 43 93,Bid Submittal Checklist,3
00430,Estimated Quantities Forms,4,00 43 26,Estimated Quantities Form,3
00430,Proposed Products Forms,4,00 43 33,Proposed Products Form,3
00430,Proposed Subcontractors Forms,4,00 43 36,Proposed Subcontractors Form,3
00430,Unit Price Forms,4,00 43 22,Unit Prices Form,3
00430,Wage Rate Forms,4,00 43 43,Wage Rates Form,3
00430,Work Plan and Equipment Schedule,4,00 43 86,Proposed Work Plan Schedule Form,3
00450,Contractor’s Qualification,4,00 45 13,Bidder’s Qualifications,3
00450,Contractor’s Qualification,4,00 45 16,Proposer’s Qualifications,3
00450,Minority Business Enterprise Affidavit,4,00 45 39,Minority Business Enterprise Affidavit,3
00450,Non-collusion Affidavit,4,00 45 19,Non-Collusion Affidavit,3
00450,Qualification Statement for Waste Disposal,4,00 45 00,Representations and Certifications,3
00450,Representations and Certifications,3,00 45 00,Representations and Certifications,2
00450,Statement of Disposal Facility,4,00 45 23,Statement of Disposal Facility,3
00450,Worker’s Compensation Certificate Schedule,4,00 45 26,Worker’s Compensation Certificate Schedule,3
00490,BIDDING ADDENDA,2,00 91 13,Addenda,3
00500,AGREEMENT,2,00 50 00,Contracting Forms and Supplements,2
00510,Notice of Award,3,00 51 00,Notice of Award,2
00520,Agreement – Construction Management,4,00 52 23,Agreement Form – Construction Management (Single-Prime Contract),3
00520,Agreement – Construction Management,4,00 52 26,Agreement Form – Construction Management (Multiple-Prime Contract),3
00520,Agreement – Cost-Plus Fee,4,00 52 33,Agreement Form – Cost Plus-Fee (Single-Prime Contract),3
00520,Agreement – Cost-Plus Fee,4,00 52 36,Agreement Form – Cost-Plus-Fee (Multiple-Prime Contract),3
00520,Agreement – Procurement,4,00 52 63,Agreement Form – Purchase,3
00520,Agreement – Stipulated Sum,4,00 52 13,Agreement Form – Stipulated Sum (Single-Prime Contract),3
00520,Agreement – Stipulated Sum,4,00 52 16,Agreement Form – Stipulated Sum (Multiple-Prime Contract),3
00520,Agreement – Unit Price,4,00 52 43,Agreement Form – Unit Price (Single-Prime Contract),3
00520,Agreement – Unit Price,4,00 52 46,Agreement Form – Unit Price (Multiple-Prime Contract),3
00520,Agreement Form,3,00 52 00,Agreement Forms,2
00540,Allowance Amounts,4,00 54 21,Allowances Schedule,3
00540,Attachments to Agreement Form,3,00 54 00,Agreement Form Supplements,2
00540,Supplementary Scope Statement,4,00 54 13,Supplementary Scope Statement,3
00540,Unit Price Schedule,4,00 54 22,Unit Prices Schedule,3
00550,Notice to Proceed,3,00 55 00,Notice to Proceed,2
00570,Definitions,3,00 23 00,Procurement Definitions,2
00570,Definitions,3,00 71 00,Contracting Definitions,2
00600,BONDS AND CERTIFICATES,2,00 60 00,Project Forms,2
00610,Bonds,3,00 61 00,Bond Forms,2
00610,Consent of Surety,4,00 62 76.16,Consent of Surety to Reduction of Retainage Form,4
00610,Consent of Surety,4,00 65 19.19,Consent of Surety to Final Payment Form,4
00610,Lien Bonds,4,00 61 16,Lien Bond Form,3
00610,Maintenance Bonds,4,00 61 19,Maintenance Bond Form,3
00610,Payment Bonds,4,00 61 13.16,Payment Bond Form,4
00610,Performance Bonds,4,00 61 13.13,Performance Bond Form,4
00610,Special Bonds,4,00 61 26,Special Bond Form,3
00610,Warranty Bonds,4,00 65 36,Warranty Form,3
00620,Acceptance Certificate,4,00 65 19.23,Acceptance Certificate Form,4
00620,Application for Payment Certificate,4,00 62 76,Application for Payment Form,3
00620,Certificates,3,00 62 00,Certificates and Other Forms,2
00620,Certificates of Compliance,4,00 65 13,Certificate of Compliance Form,3
00620,Certificates of Final Performance and Completion,4,00 65 19,Certificate of Completion Form,3
00620,Certificates of Insurance,4,00 62 16,Certificate of Insurance Form,3
00620,Certificates of Substantial Performance and Completion,4,00 65 16,Certificate of Substantial Completion Form,3
00620,Final Settlement Certificate,4,00 65 19.26,Final Settlement Certificate Form,4
00640,Release of Liens,3,00 65 19.16,Affidavit of Release of Liens Form,4
00650,Statutory Declaration Forms,3,00 65 73,Statutory Declaration Form,3
00700,GENERAL CONDITIONS,2,00 72 00,General Conditions,2
00800,Anti-Pollution Measures,4,00 73 53,Anti-Pollution Measures,3
00800,Assigned Contracts,4,00 73 26,Assigned Contracts,3
00800,Equal Employment Opportunity Requirements,4,00 73 36,Equal Employment Opportunity Requirements,3
00800,Health and Safety Criteria,4,00 73 19,Health and Safety Requirements,3
00800,Insurance Requirements,4,00 73 16,Insurance Requirements,3
00800,Labor Stabilization Agreement,4,00 73 49,Labor Stabilization Agreement,3
00800,Letter of Assent,4,00 73 00,Supplementary Conditions,2
00800,Non-Segregated Facilities Requirements,4,00 73 33,Non-Segregated Facilities Requirements,3
00800,Procurement Contracts,4,00 73 23,Purchase Contracts,3
00800,Specific Project Requirements,4,00 73 00,Supplementary Conditions,2
00800,Statutory Requirements,4,00 73 73,Statutory Requirements,3
00800,SUPPLEMENTARY CONDITIONS,2,00 73 00,Supplementary Conditions,2
00800,Wage Determination Schedule,4,00 73 46,Wage Determination Schedule,3
00800,Wage Rates Requirements,4,00 73 43,Wage Rate Requirements,3
00890,Notices,4,00 31 43,Permit Application,3
00890,Permits,3,00 31 43,Permit Application,3
00900,ADDENDA AND MODIFICATIONS,2,00 90 00,"Revisions, Clarifications, and Modifications",2
00910,Addenda,3,00 91 13,Addenda,3
00920,Claims,3,00 63 13,Request for Interpretation Form,3
00930,Change Order Proposals,4,00 63 57,Change Order Request Form,3
00930,Change Order Requests,4,00 63 57,Change Order Request Form,3
00930,Clarification Notices,4,00 63 19,Clarification Form,3
00930,Clarifications and Proposals,3,00 63 00,Clarification and Modification Forms,2
00930,Minor Changes in the Work,4,00 63 33,Supplemental Instruction Form,3
00930,Minor Changes in the Work,4,00 63 36,Field Order Form,3
00930,Proposal Requests,4,00 63 53,Request for Proposal Form,3
00930,Proposal Worksheet Summaries,4,00 63 54,Proposal Worksheet Summary Form,3
00930,Requests for Intrepretation,4,00 63 13,Request for Interpretation Form,3
00940,Amendments,4,00 94 43,Record Amendments,3
00940,Architect’s Supplemental Instructions,4,00 63 33,Supplemental Instruction Form,3
00940,Change Orders,4,00 63 63,Change Order Form,3
00940,Construction Change Directives,4,00 63 46,Construction Change Directive Form,3
00940,Field Order,4,00 63 36,Field Order Form,3
00940,Modifications,3,00 94 00,Record Modifications,2
00940,Supplemental Instructions,4,00 63 33,Supplemental Instruction Form,3
00940,Work Change Directives,4,00 63 49,Work Change Directive Form,3
00940,Written Amendments,4,00 63 43,Written Amendment Form,3
01000,GENERAL REQUIREMENTS,1,01 00 00,General Requirements,1
01100,SUMMARY,2,01 10 00,Summary,2
01110,Summary of Work,3,01 11 00,Summary of Work,2
01110,Work By Owner,4,01 11 16,Work by Owner,3
01110,Work Covered By Contract Documents,4,01 11 13,Work Covered by Contract Documents,3
01120,Construction By Owner,4,01 12 00,Multiple Contract Summary,2
01120,Construction Sequence,4,01 12 16,Work Sequence,3
01120,Contract Interface,4,01 12 19,Contract Interface,3
01120,Multiple Contract Summary,3,01 12 00,Multiple Contract Summary,2
01120,Summary of Contracts,4,01 12 13,Summary of Contracts,3
01140,Access to Site,4,01 14 13,Access to Site,3
01140,Coordination With Occupants,4,01 14 16,Coordination with Occupants,3
01140,Use of Premises,4,01 14 19,Use of Site,3
01140,Use of Site,4,01 14 19,Use of Site,3
01140,Work Restrictions,3,01 14 00,Work Restrictions,2
01180,Project Utility Sources,3,01 18 00,Project Utility Sources,2
01200,PRICE AND PAYMENT PROCEDURES,2,01 20 00,Price and Payment Procedures,2
01210,Allowances,3,01 21 00,Allowances,2
01210,Cash Allowances,4,01 21 13,Cash Allowances,3
01210,Contingency Allowances,4,01 21 16,Contingency Allowances,3
